Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523006333890,0000033A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006333293,00000332,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006332696,0000032A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006332141,00000322,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006331544,00000352,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006330946,0000035A,false,Rx,0,3,1E,03,78,00,00,00,00,00,
-1789523006326424,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523006325272,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006263349,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523006262367,00000104,false,Rx,0,8,04,7F,00,7F,00,24,0F,00,
-1789523006261386,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006257418,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523006256479,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006225632,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523006224480,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006163425,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523006162443,00000104,false,Rx,0,8,04,7F,00,7F,00,25,0F,00,
-1789523006161462,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006157409,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523006156513,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006146060,0000010A,false,Rx,0,5,00,00,64,00,00,00,00,00,
-1789523006145377,0000010C,false,Rx,0,3,00,00,00,00,00,00,00,00,
-1789523006124769,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9D,00,
-1789523006123745,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523006063373,00000102,false,Rx,0,8,00,00,64,66,60,64,7C,00,
-1789523006062434,00000104,false,Rx,0,8,04,7F,00,7F,00,26,10,00,
-1789523006061453,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523006057400,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523006056504,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523006024035,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523006023182,00000280,false,Rx,0,5,06,22,07,C0,19,00,00,00,
-1789523006005475,00000380,false,Rx,0,6,09,35,00,00,1B,04,00,00,
-1789523005963364,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523005962383,00000104,false,Rx,0,8,04,7F,00,7F,00,27,0F,00,
-1789523005961401,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005957391,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523005956495,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523005923215,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9D,03,
-1789523005922148,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523005863440,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523005862459,00000104,false,Rx,0,8,04,7F,00,7F,00,28,0F,00,
-1789523005861477,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005857382,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
-1789523005856486,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523005822438,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523005821286,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523005784679,00000380,false,Rx,0,7,02,00,12,00,00,00,FC,00,
-1789523005763388,00000102,false,Rx,0,8,00,00,64,66,60,63,7C,00,
-1789523005762407,00000104,false,Rx,0,8,04,7F,00,7F,00,29,10,00,
-1789523005761426,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005757415,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523005756519,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523005721618,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9D,00,
-1789523005720552,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523005679464,00000320,false,Rx,0,8,20,00,32,7D,37,7D,3C,7D,
-1789523005678483,00000320,false,Rx,0,8,20,01,41,7D,41,7D,41,7D,
-1789523005677544,00000322,false,Rx,0,8,20,02,45,7D,45,7D,55,7C,
-1789523005676563,00000328,false,Rx,0,8,20,01,45,7D,4A,7D,41,7D,
-1789523005675624,00000330,false,Rx,0,8,20,00,4A,7D,45,7D,37,7D,
-1789523005674686,0000032A,false,Rx,0,8,20,02,37,7D,41,7D,45,7D,
-1789523005673747,00000328,false,Rx,0,8,20,00,45,7D,37,7D,4F,7D,
-1789523005672766,00000330,false,Rx,0,8,20,01,37,7D,41,7D,3C,7D,
-1789523005671827,00000332,false,Rx,0,8,20,02,41,7D,3C,7D,41,7D,
-1789523005663550,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523005662569,00000104,false,Rx,0,8,04,7F,00,7F,00,2A,0F,00,
-1789523005661587,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005657406,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523005656510,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523005620841,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523005619689,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523005563327,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523005562389,00000104,false,Rx,0,8,04,7F,00,7F,00,2B,11,00,
-1789523005561407,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005557397,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523005556501,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
